FullName,Direction,Name,Suffix,SuffixDirection,MinAddress,MaxAddress
E 100TH PL,E,100TH,PL, ,1,1199
W 100TH PL,W,100TH,PL, ,300,2629
E 100TH ST,E,100TH,ST, ,1,4001
W 100TH ST,W,100TH,ST, ,1,2799
E 101ST PL,E,101ST,PL, ,1,699
W 101ST PL,W,101ST,PL, ,300,3999
E 101ST ST,E,101ST,ST, ,1,3699
W 101ST ST,W,101ST,ST, ,1,3999
E 102ND PL,E,102ND,PL, ,1,699
W 102ND PL,W,102ND,PL, ,300,3947
E 102ND ST,E,102ND,ST, ,1,3898
W 102ND ST,W,102ND,ST, ,1,3999
E 103RD PL,E,103RD,PL, ,1,799
W 103RD PL,W,103RD,PL, ,1,2651
E 103RD ST,E,103RD,ST, ,1,3899
W 103RD ST,W,103RD,ST, ,1,3999
E 104TH PL,E,104TH,PL, ,100,799
W 104TH PL,W,104TH,PL, ,1,3999
E 104TH ST,E,104TH,ST, ,1,3951
W 104TH ST,W,104TH,ST, ,1,3999
E 105TH PL,E,105TH,PL, ,532,799
W 105TH PL,W,105TH,PL, ,200,3599
E 105TH ST,E,105TH,ST, ,1,3999
W 105TH ST,W,105TH,ST, ,1,3999
W 106TH PL,W,106TH,PL, ,1,2651
E 106TH ST,E,106TH,ST, ,200,4099
W 106TH ST,W,106TH,ST, ,200,3999
W 107TH PL,W,107TH,PL, ,200,3910
E 107TH ST,E,107TH,ST, ,1,4099
W 107TH ST,W,107TH,ST, ,1,3999
W 108TH PL,W,108TH,PL, ,1,3909
E 108TH ST,E,108TH,ST, ,1,4099
W 108TH ST,W,108TH,ST, ,1,3899
W 109TH PL,W,109TH,PL, ,1,3899
E 109TH ST,E,109TH,ST, ,1,4099
W 109TH ST,W,109TH,ST, ,1,3999
E 110TH PL,E,110TH,PL, ,1,3899
W 110TH PL,W,110TH,PL, ,1,3899
E 110TH ST,E,110TH,ST, ,1,4099
W 110TH ST,W,110TH,ST, ,1,3999
E 111TH PL,E,111TH,PL, ,1,599
W 111TH PL,W,111TH,PL, ,1,2399
E 111TH ST,E,111TH,ST, ,1,4099
W 111TH ST,W,111TH,ST, ,1,4799
E 112TH PL,E,112TH,PL, ,1,99
W 112TH PL,W,112TH,PL, ,1,3799
E 112TH ST,E,112TH,ST, ,1,4099
W 112TH ST,W,112TH,ST, ,1,3199
E 113TH PL,E,113TH,PL, ,1,99
W 113TH PL,W,113TH,PL, ,1,3671
E 113TH ST,E,113TH,ST, ,1,3799
W 113TH ST,W,113TH,ST, ,1,3799
E 114TH PL,E,114TH,PL, ,1,599
W 114TH PL,W,114TH,PL, ,1,3799
E 114TH ST,E,114TH,ST, ,1,3899
W 114TH ST,W,114TH,ST, ,1,3751
W 115TH PL,W,115TH,PL, ,926,3633
E 115TH ST,E,115TH,ST, ,1,3899
W 115TH ST,W,115TH,ST, ,1,4798
W 116TH PL,W,116TH,PL, ,600,3633
E 116TH ST,E,116TH,ST, ,1,3899
W 116TH ST,W,116TH,ST, ,1,3633
E 117TH PL,E,117TH,PL, ,1,199
W 117TH PL,W,117TH,PL, ,600,2599
E 117TH ST,E,117TH,ST, ,1,3799
W 117TH ST,W,117TH,ST, ,100,3629
E 118TH PL,E,118TH,PL, ,1,199
W 118TH PL,W,118TH,PL, ,732,2599
E 118TH ST,E,118TH,ST, ,1,3799
W 118TH ST,W,118TH,ST, ,1,2599
E 119TH PL,E,119TH,PL, ,1,399
E 119TH ST,E,119TH,ST, ,1,399
W 119TH ST,W,119TH,ST, ,1,2599
E 11TH PL,E,11TH,PL, ,100,199
W 11TH PL,W,11TH,PL, ,28,99
E 11TH ST,E,11TH,ST, ,1,99
E 120TH PL,E,120TH,PL, ,1,399
E 120TH ST,E,120TH,ST, ,1,899
W 120TH ST,W,120TH,ST, ,1,1599
E 121ST PL,E,121ST,PL, ,1,299
E 121ST ST,E,121ST,ST, ,1,799
W 121ST ST,W,121ST,ST, ,1,1599
E 122ND PL,E,122ND,PL, ,1,199
W 122ND PL,W,122ND,PL, ,1534,1599
E 122ND ST,E,122ND,ST, ,1,3236
W 122ND ST,W,122ND,ST, ,1,1599
E 123RD ST,E,123RD,ST, ,1,199
W 123RD ST,W,123RD,ST, ,1,1599
E 124TH PL,E,124TH,PL, ,1,199
E 124TH ST,E,124TH,ST, ,1,799
W 124TH ST,W,124TH,ST, ,1,799
E 125TH PL,E,125TH,PL, ,1,199
W 125TH PL,W,125TH,PL, ,1,599
E 125TH ST,E,125TH,ST, ,1600,1899
W 125TH ST,W,125TH,ST, ,1,799
E 126TH PL,E,126TH,PL, ,136,2731
W 126TH PL,W,126TH,PL, ,1,599
E 126TH ST,E,126TH,ST, ,1,3459
W 126TH ST,W,126TH,ST, ,200,799
W 127TH PL,W,127TH,PL, ,500,599
E 127TH ST,E,127TH,ST, ,1,3099
W 127TH ST,W,127TH,ST, ,1,1030
W 128TH PL,W,128TH,PL, ,440,899
E 128TH ST,E,128TH,ST, ,2600,2999
W 128TH ST,W,128TH,ST, ,500,599
E 129TH PL,E,129TH,PL, ,1001,1169
W 129TH PL,W,129TH,PL, ,400,1029
E 129TH ST,E,129TH,ST, ,2600,3099
W 12TH PL,W,12TH,PL, ,700,3599
